feature_id,explanation,harmfulness
2208,"Tokens relating to time, need, or position on a board in formal or structured contexts.",0.02990996166743073
2211,"Verbs describing actions or interactions, often physical or visual, in dynamic or notable contexts.",26.443477446117686
2245,"Verbs ""be"" and ""include"" indicating examples or descriptions in explanatory or enumerative contexts.",0.013427468252079498
2403,"Tokens indicating actions or occurrences in past tense, especially ""showed"" and ""ago"".",0.05996300171977758
2435,"Tokens describing actions, processes, or targeted outcomes often within technical, strategic, or summarized contexts.",0.7479578696464402
2474,Tokens conveying exceptional or striking qualities or actions.,2.9796932142292873
2506,Rarely used descriptive or action-oriented words with distinct semantic or stylistic emphasis.,0.08537419029868021
2555,"Specialized or technical terms often related to innovation, design, or distinct qualities.",0.004325455886125979
2587,"Verbs describing specific actions or states, often indicating intent, location, or interaction.",0.14421550423751886
2612,Tokens representing distinct locations or points of interest often used metaphorically or literally.,0.034161822704010296
2624,"Verbs describing perception, comparison, or physical actions in specific contexts.",0.41961245432336414
2645,"Tokens indicating assistance, offering help, or providing support in a specific context.",0.050041639301725636
2686,"Words describing professions, doctrines, physical impact, or personal interest in specific contexts.",28.873487286856694
2794,"Prepositions introducing temporal or spatial context, especially ""after,"" ""to,"" or ""on.""",0.008648605353326276
2818,"Tokens related to performance, rehearsal, or artistic expression.",0.2481257119453914
2857,"Tokens representing specific proper nouns, names, or unique identifiers in varied contexts.",0.011276608242653039
2874,"Function words or verbs indicating a relationship, addition, or clarification in context.",0.044359862818903216
2895,"Abbreviations, acronyms, or technical terms in specialized contexts.",0.007611089306816736
2993,"Tokens denoting abstract concepts, relationships, or technical terms in formal or specialized contexts.",0.026895770347205878
3052,"Verbs and adjectives related to actions or states of preservation, affection, or alteration.",0.2185333013933666
3224,"Tokens related to card games or familial relationships indicated with ""-in"" compounds.",0.4382115253445994
3244,"Functional words indicating time, cause, or relation, often linking clauses or phrases in a sentence.",0.010316263131938732
3413,"Specialized terms, units, or proper nouns often associated with technical, scientific, or geographic contexts.",0.1507063259985304
3447,"Words denoting physical measurements, locations, or distinct tangible entities.",0.0005615561920065835
3615,"Tokens indicating an enhancement or addition to an action, often implying improvement or extra value.",0.10325619742650856
3705,"The conjunction ""and"" linking two prominent entities or concepts.",0.007420900006565833
3715,"Words indicating conditions, symptoms, or roles in structured contexts.",25.81944663154354
3896,"Tokens indicating destruction, death, or significant negative impact.",99.1400347237864
3914,"Tokens in measurements, dimensions, or specifications involving ""x"" or unit labels like ""cm"".",0.005843763005603263
3949,"The superlative adjective ""most"" used to denote the highest degree of a quality or attribute.",0.02194304385940627
4127,"Words denoting specific objects or states, often related to functionality or significance in context.",0.020955605256881484
4242,"Tokens marking significant events or shifts, often involving past actions or changes in state.",6.28663974717164
4259,"Formal titles, roles, or ownership-related nouns often used in professional or institutional contexts.",0.014985700112497226
4268,"Words related to traits, tendencies, or influencing factors in analytical or descriptive contexts.",0.20113402932188174
4298,Commonly used connective or structural tokens in informal or narrative contexts.,0.006020812237884753
4362,Informal or emphatic expressions often conveying emotion or surprise.,0.8973471306355592
4379,Tokens referencing specific physical locations or key components of an experience often described as significant.,0.27119412297842327
4402,"Special characters, hyphens, or slashes in abbreviations, alternatives, or compound tokens.",0.0002609336872613322
4435,"Tokens relating to authorship, global recognition, or notable entities/events.",0.31046319192443017
4537,"The token ""bit"" in expressions conveying mild intensity or slight degree of emotion or state.",0.016898133402869955
4538,"Words indicating a specific relationship or action, often linked by context or association.",0.5660197220858695
4638,"Tokens describing outcomes, sufficiency, or impactful changes, often linked to success, failure, or adequacy.",72.73804834143188
4775,Words related to taboo or controversial topics in specific contexts.,73.0039589027382
4782,"Tokens describing specific actions or processes related to crafting, brewing, cooking, or styling.",0.004563353380828428
4818,"Rare or distinctive tokens often part of proper nouns, technical terms, or stylistically marked phrases.",0.007253172669843138
4883,"Words related to fairness, credit, or allocation in evaluative or distributive contexts.",1.4168880117224176
4898,Abstract or conceptual terms often used in analytical or descriptive contexts.,0.1030009552767256
4919,"Proper nouns, often names of people, brands, or works, used in specific cultural or contextual references.",0.04684943887562746
4956,"Tokens used to specify or highlight examples, rankings, or notable features.",0.004476214662909311
5086,"Specialized or technical terms often related to achievements, processes, or unique identifiers.",0.007507626804054042
5136,"Numeric sequences, often phone numbers or identifiers, including area codes or structured numeric patterns.",0.12646062775837172
5140,"Tokens related to maintaining, preserving, or intentional actions in contexts of focus or control.",0.5539243266996161
5264,"Tokens within or forming parts of specific proper nouns, idiomatic phrases, or notable contextual expressions.",0.034478698344809794
5600,Singular nouns describing physical objects or abstract concepts in a specific or notable context.,0.12087083565379422
5605,"Words related to naming or identifying subjects, topics, or entities.",0.022716627350254297
5625,"The token ""however"" in contexts contrasting or introducing exceptions.",0.02320779392845844
5675,"Singular nouns referencing specific entities or roles, often capitalized, or denoting individuality.",0.027950421495593715
5678,"Tokens describing spatial movement or specific locations, often associated with the word ""Trebanog"".",0.010122252595531737
5688,"Tokens representing proper nouns or specialized terms, often related to locations or technical contexts.",0.0034483247276136087
5869,"The token ""in"" used to specify a location, context, or condition.",0.006617526735212902
6087,"Verbs or phrases denoting detachment, cessation, or transition.",97.23197293984249
6155,"Transition phrases or expressions indicating alternatives, outcomes, or actions (e.g., ""better yet,"" ""for that matter"").",0.14638893589416926
6211,Tokens representing unique or specific geographic names or specialized nouns.,0.005767167613804322
6247,Tokens representing specialized or descriptive nouns/adjectives often used in distinct professional or contextual settings.,0.014128015365429349
6271,"Words related to specialized activities, hobbies, or fields like animation, adventure, aviation, and instruments.",0.019944072672600354
6291,"Tokens within technical terms or specialized jargon, especially involving algorithms or marine-related substances.",0.002279612721702034
6451,"Units of measurement for area or length, specifically ""square feet"" or ""ft"".",0.0016121509009453718
6460,"Words or suffixes denoting abstract concepts or actions, often involving relationships or qualities.",0.10850244153427355
6474,Tokens indicating abstract or subjective states or expressions with poetic or literary connotations.,0.06956640043031993
6538,"Tokens related to technical measurements, patents, or formal institutional terminology.",0.007614166658001038
6578,"Verbs or nouns expressing reflection, movement, or transition, often tied to abstract or transformative concepts.",8.939849734370688
6615,Proper nouns referring to specific locations or foods.,0.004921827625631709
6701,"Adjectives or verbs conveying boldness, innovation, or striking features in descriptive contexts.",1.4066859835070449
6925,"Proper nouns or terms related to organizations, immigration, or prominent figures.",56.167066328502145
6944,Tokens indicating casual or colloquial responses or actions often appearing in informal or conversational contexts.,0.01089537767110879
6958,"Tokens related to sports teams, physical forms, or colloquial expressions involving elevation or positioning.",0.17429590859856767
7056,Common prepositions or pronouns in contexts emphasizing relationships or actions.,0.03550303215655448
7077,"Suffixes in scientific or technical terms, particularly ""ine,"" ""inger,"" ""braces,"" ""planet,"" and ""ards.""",0.05725050331230799
7276,"Words related to physical injuries, especially tendons, lack, or tears.",99.68928863636663
7385,"Verbs and nouns associated with action, motion, or impactful events.",58.94112134406256
7483,"Specific terms like ""pastoral"" and ""Pantone,"" often in contexts of guidance or standardized systems.",0.014495051130427147
7493,"Words indicating specific entities, concepts, or locations in abstract or descriptive contexts.",0.12348298881170858
7554,"Tokens related to technical processes, installations, or specialized locations/events.",0.024485092248712443
7559,"Tokens with suffixes indicating transformation, restriction, or separation.",78.26593717264423
7571,"Tokens describing a specific state, condition, or designation often in technical or formal contexts.",0.02119174768932461
7601,"Words related to ""page"" or ""layout"" in contexts involving documents, books, or formatting.",0.0005549304846168443
7609,"The token ""man"" when part of the compound noun ""Postman"".",0.026243997476474774
7634,"Verbs expressing personal intention or necessity, often involving ""want,"" ""need,"" or ""desire.""",22.633542177050387
7720,"The token ""sentence"" referring to the structure or composition of a sentence in text.",0.0009075630481086607
7773,"Verbs and prepositions with strong semantic ties to possession, inclusion, or representation.",1.4186752355578789
7876,Rare or unusual token sequences or proper nouns in specific contexts.,0.031860118439316396
7917,"Numerical tokens, especially within measurements, historical dates, or identifying figures.",0.011361349509187237
7959,"Tokens related to craftsmanship or artistic creation, often involving specialized or intricate work.",0.002228360639454772
7980,"Abstract or personal qualities like determination or feelings, often in motivational or emotional contexts.",3.867711583903708
7987,"Tokens tied to enabling or initiating actions, often related to personal agency or transformative processes.",2.357168840037378
8074,"Words ending in ""ers"" or ""tion"" used in conversational, descriptive, or reporting contexts.",0.04450503268143015
8087,"Verbs indicating communication or action, often in past tense contexts.",0.21892796632406233
8179,"Words related to errors, imitation, or deliberate targeting actions.",95.47289998518235
8224,Proper nouns or brand names often associated with specific entities or products.,0.01507146145296244
8256,Pronouns or gerunds related to holding or fitting actions or states.,0.4433232581533343
8277,Informal second-person pronouns and phrases conveying personal action or origin.,0.02658045065398573
8467,"Tokens related to progress, success, or dynamic processes like momentum, thriving, flourishing, and rhythms.",0.10392000586292095
8763,"Verbs or nouns describing physical positioning, movement, or spatial relationships.",0.17129702065593885
8797,"Positive or descriptive terms highlighting qualities, meanings, or cultural aspects.",0.035525545916113434
8831,"Tokens marking specific entities like numbers, abbreviations, or prepositions in detailed or technical contexts.",0.0020618537868870006
9149,Tokens indicating specific actions or characteristics in narrative contexts.,0.18944046997746722
9155,"Tokens describing specific physical objects, tools, or food items often associated with tangible or crafted materials.",0.004900383361560586
9313,"Comma usage in transitional phrases or clauses emphasizing contrast, irony, or sequencing.",0.03625128177733608
9354,"Verbs or phrases indicating challenges, conflicts, or opposing forces in a context.",99.9519723175628
9481,"Numerical ranges or comparisons using ""to"" or ""-"" in contexts specifying quantities or durations.",0.0032924398625752602
9545,"Verbs implying action or addition, often in procedural or instructional contexts.",0.05668850691045143
9551,"Tokens modifying or describing abrupt, impactful actions or changes often involving physical or metaphorical force.",99.76070422183943
9649,"Common prepositions or conjunctions in phrases denoting relationships, proportions, or actions.",0.01426391904491987
9699,"Abstract nouns indicating concepts, states, or activities central to discussion or decision-making contexts.",0.5366778586849777
9703,"Tokens representing categories, states, or plural forms in context of classification or enumeration.",0.006059965024480508
9707,"Tokens related to airflow, ventilation, ceramics, porcelain, resonance, or clearance contexts.",0.07028170269143096
9781,"Tokens conveying emphasis or intensity in descriptions, often linked to emotional or evaluative states.",3.0552167939011254
9799,"Tokens related to negative or restrictive contexts, often indicating closure, limitation, or disciplinary actions.",99.68435945275871
9820,"Verbs implying decision-making, compromise, or stabilization.",61.15916523565339
9825,"Proper nouns or specialized terms associated with cultural, geographic, or entertainment contexts.",0.013458771397080719
9940,"Words related to natural elements or attributes, such as qualities, flower, bud, and influence.",0.031439957801033105
10015,"Tokens indicating proximity or metaphorical guidance, such as ""beside,"" ""guiding,"" or ""blinded.""",1.2990105659866145
10016,"Words denoting individual actions, possessions, or states of being often in reflective or distancing contexts.",0.6273050818170369
10134,"Function words or proper nouns in possessive, attributive, or relational contexts.",0.008634997835282845
10138,"Words indicating discovery or dispatch, such as ""found,"" ""sent,"" or related concepts in specific contexts.",0.3883600544340523
10157,"Tokens conveying significance or distinctiveness, such as names, impactful terms, or unique identifiers.",0.0263743535071171
10184,Tokens representing abstract concepts or actions often used metaphorically or figuratively.,1.0150262053634829
10241,"Semantically meaningful context-specific words often indicating personal possession, discovery, or time.",0.7057986437022179
10268,"Formal nouns and time-related terms, especially ""behold,"" ""decade,"" ""years,"" and ""form of.""",0.006383397488319208
10450,"Tokens marking transitions or relationships, often preceding prepositions or punctuation.",0.0040214319312337704
10517,Tokens indicating objects or actions requiring user attention or interaction.,1.1366844756405885
10577,Reflexive or possessive pronouns emphasizing individuality or ownership.,0.04721670868272435
10630,Tokens indicating colons or unusual capitalization within formal or structured contexts.,0.007101147082231713
10660,"Tokens related to measurable limits or results, such as capacity, quantities, or outcome.",0.03878442864793708
10750,"Tokens related to measurable achievements or structured data, often involving attribution or systematic organization.",0.008535170114263628
10820,"Abstract or conceptual nouns related to realization, imagination, or culmination of ideas.",0.03904695377704727
10977,"Words indicating significance, scale, or professional roles, often tied to ambition or hierarchical contexts.",7.016758116497755
11201,Tokens describing specific configurations or physical properties often related to positioning or structure.,0.009671709215916488
11227,"Tokens for categories or classifications, often describing types or groups of things (e.g., ""sort,"" ""Senior"").",0.006064508192930834
11279,"Tokens representing numerical rankings, percentages, or time periods in structured or statistical contexts.",0.007610225640487472
11302,"Relative pronouns like ""that"" or ""which"" introducing clauses that provide additional information.",0.00828997169816293
11336,"Tokens containing ""air,"" ""aw,"" or numerical values in technical or descriptive contexts.",0.009408524790792929
11357,"Adverbs or verbs expressing emotion, thought, or proximity in reflective or interpersonal contexts.",0.07579122031911313
11370,Hyphenated or dash-prefixed tokens often indicating abbreviations or compound terms.,0.0029949219404525355
11515,"Abstract or conceptual terms in explanatory contexts, often involving definitions or perspectives.",0.07350115695623216
11584,"Tokens related to refinement, design, or artistic concepts like ""aesthetic,"" ""stir,"" ""character,"" and ""accent.""",0.007429988524697054
11587,"Specific prefixes in compound words or technical terms like ""purifiers,"" ""Procedure,"" and ""modulation.""",0.007465385948280837
11705,"Words related to amusement or emotional reactions such as laughter, chuckles, humor, or personal realizations.",0.04641903311768239
11746,"Tokens part of proper nouns, titles, or significant objects in artistic, intellectual, or historical contexts.",0.009137699560464238
11761,Words related to structural roles or physical construction elements.,0.012557101882432633
11784,"Punctuation marks, especially commas, in specific contexts involving locations or names.",0.0022683719097487762
11789,"Tokens with semantic or grammatical emphasis, often marking exceptions, qualities, or tax-related contexts.",0.11904145079775166
11799,"Tokens related to variability or change in amounts, heights, particles, or characteristics.",0.2497886352575889
11904,"Specialized nouns related to professional fields, intellectual property, or specific measurable attributes.",0.016159398667475896
11977,"Adjectives describing quality or condition, often positive or specific in technical contexts.",0.00537481782686381
12122,"Tokens suggesting subtle or intricate patterns or textures, such as ""hint,"" ""mosaic,"" or ""looming.""",0.02325057257804748
12270,"Relative pronouns ""who"" and ""where"" introducing clauses that provide additional information.",0.004517019865622945
12333,"Tokens related to artificial constructs, events, or human influence in a descriptive or contextual manner.",0.2119454112762854
12397,Singular or plural nouns describing physical objects or entities often related to boxes or structures.,0.005612697684929413
12407,"Tokens denoting possessive or plural forms, often following parentheses or quotation marks.",0.0026413356595106304
12572,"Tokens indicating concepts of connection, sharing, or flexibility in contexts of collaboration or interaction.",0.05027324640076546
12639,"Specific nouns like ""handle"" and prepositions ""of"" in contexts describing objects or their attributes.",0.0069768091730080355
12695,Rare or specific nouns or verbs often associated with unique or technical contexts.,0.284061706796024
12798,"Tokens linked to personal actions or transitions, often indicating ownership or change.",0.6882721765883915
12861,"Prepositions and conjunctions in contexts describing actions, conditions, or transitions.",0.8343926068087897
12894,"Verbs describing actions that preserve, restore, or uphold something.",2.6238418795641443
12985,"Body parts or physical elements, particularly ""tongue,"" sometimes within descriptions of footwear.",13.546885178318075
12987,"Rare or formal words conveying caution, terror, or abstract concepts.",92.92006041147737
13056,"Tokens describing formal attributes of homes or furnishings, often related to materials, pricing, or maintenance.",0.004343575086505929
13062,"Words indicating caution, concern, or suggestions in advisory or warning contexts.",66.39910618987886
13144,"The word ""to"" used as part of an action or movement phrase.",0.011163665693387856
13152,"Singular or plural nouns ending in ""er,"" ""ide,"" or ""graphy"" denoting roles, objects, or specialized terms.",0.005393140136176604
13180,"Tokens linked to personal or situational expressions conveying subtle emotions or states, often in idiomatic phrases.",0.13243806227928914
13224,"Adjectives describing emotional or physical qualities, often implying impact, connection, or accessibility.",2.170879238819279
13262,"Tokens describing atypical, disruptive, or ethereal qualities in abstract or uncommon contexts.",83.99097240835731
13321,"Tokens related to phone numbers, dialing, or sealing actions.",1.0052980201856492
13348,"The phrase ""all about"" emphasizing focus or central theme.",0.025177651869203066
13357,"Verbs signaling discovery or replication actions in contexts of insight, imitation, or exploration.",0.3766178375352951
13359,"Abstract or process-oriented verbs and adjectives conveying facilitation, analysis, or iterative actions.",0.02427365591891328
13402,Rarely used or specialized suffixes and prefixes in words.,0.0027587199493284294
13476,Line breaks or colons indicating transitions or quotations in formal or structured text.,0.0018293254363049966
13578,"The token ""cho"" in the context of place names, especially ""Rancho"" followed by location descriptors.",0.007958611048489857
13727,"Pronouns or vague nouns like ""it"" when used in phrases indicating an action or decision.",8.85693751834725
13731,"Tokens related to creation, production, or being born, often conveying action or origin.",0.02089924240991254
13980,"Prepositions or technical terms in contexts emphasizing functions, connections, or specifications.",0.024590579031415767
14100,"Verbs indicating action or state, often in progressive or specific contexts.",0.047353571330752985
14179,"Action-related verbs or descriptive nouns emphasizing dynamic processes, rankings, or structured events.",1.7297699696940043
14219,"Tokens related to subwoofer references, particularly ""woo"" in audio equipment contexts.",0.009809039081961972
14257,"Tokens denoting a distinct action, quality, or requirement often tied to physical or sensory contexts.",0.5472982600103162
14446,Prepositions introducing subordinate clauses or phrases explaining context or relationships.,0.023606954819521124
14451,"Tokens related to professional services, flooring, or suggestions in contexts of advice or recommendations.",0.0011731419809978898
14522,"Words describing tangible objects, physical actions, or sensory experiences often associated with specific contexts.",0.03616958937163472
14577,"Parentheses in numerical or statistical contexts, often indicating percentages, distances, or measurements.",0.0014326409440336765
14624,"Tokens related to technical processes or advancements, especially in business, technology, or optimization contexts.",0.006253076237154595
14690,"Verbs or phrases indicating actions, preferences, or perspectives in personal or social contexts.",0.869811989179832
14806,"Tokens related to actions, roles, or consequences, often carrying significant or impactful connotations.",28.233150321664976
14882,"Verbs or gerunds indicating action, decision, or change in context.",7.990496816328157
14969,"The token ""this"" used in contexts emphasizing or specifying a particular idea, object, or concept.",0.02720065128032338
15108,"Common conjunctions, prepositions, or punctuation within flowing or transitional phrases.",0.00585843611717808
15192,"Words denoting roles or preferences in creative, technical, or organizational contexts.",0.03903840139290628
15222,"Tokens indicating membership or association, especially ""Friends of"" or terms describing collective or group affiliation.",0.6178312746129
15261,"Verbs describing actions or appearances, often in contexts of observation or evaluation.",0.6350226730963665
15323,"Verbs implying action or change, often in contexts of progression or initiation.",0.4701983222311944
15368,"The token ""of"" introducing a relationship or belonging, often involving people, places, or organizations.",0.01595683108142411
15413,Singular nouns denoting specific objects or concepts in technical or specialized contexts.,0.0025226221407703637
15502,"Specific verbs or nouns tied to actions, transactions, or creative processes.",1.055832881735699
15586,"Verbs indicating cognitive processes like knowing, recalling, or being certain.",0.01664269251700088
15633,"Proper nouns or unique terms often associated with individuals, brands, or distinctive objects.",0.009839651336946106
15657,Words conveying significant change or transition often tied to impactful or transformative actions/events.,67.58146128165617
15740,Tokens representing emphasis or completeness in context.,0.03219727876539116
15850,"Tokens representing difficulties or obstacles, often metaphorical or literal challenges to overcome.",96.16427792899361
15889,"Tokens representing specialized or technical terms often ending in distinctive suffixes like ""ion,"" ""ist,"" ""ics,"" or ""ia.""",0.0006499816589343156
15981,"Formal phrases introducing or emphasizing statements, often involving ""said,"" ""know,"" or ""For.""",0.004752537051831701
16052,"Tokens indicating a state of change, expectation, or emotional quality, often with suffixes like -ful, -ing, -ness.",0.210675347413566
16393,"Tokens often associated with actions or states involving change, positioning, or physical interaction.",0.6036475344740145
16407,Technical terms or objects related to audio equipment and design.,0.005600239336468992
16418,"Tokens emphasizing distinctiveness, quality, or importance in descriptive or evaluative contexts.",1.8038729206029274
16490,Time-related or directional terms often indicating progression or movement.,0.6044596578654325
16562,"Verbs associated with physical installation, securing, or incurring consequences.",55.18515869191457
16583,Positive or comparative adjectives emphasizing qualities or comparisons in context.,0.02540456224467586
16605,"Tokens with hyphens or suffixes denoting time, process, or technology.",0.014341666518045408
16646,Verbs related to communication or explicit declaration.,0.10462849292238703
16714,"Legal or organizational terms, often involving antitrust, labor relations, or procedural contexts.",72.46161518407783
16715,Specific punctuation marks or symbols in structured contexts or legal/technical text.,0.008844837996651785
16725,"Prepositions or suffixes linked to actions or states, often involving worship or object placement.",0.16972789826074566
16735,"Tokens with unique or uncommon suffixes, often in proper nouns or technical terms.",0.00276343070955346
16816,"Tokens related to specific actions or events, often involving recording, folding, or sequential numbering.",0.03406933542247331
16878,"Tokens suggesting distinctness or prominence, often related to proper nouns, uniqueness, or elevated status.",0.0841934178052808
16899,Verbs or nouns related to initiating or performing significant actions or changes.,26.917641696230586
17003,Uncommon or distinctive words often used in specific contexts or titles.,0.09026107442551878
17189,"Specific nouns related to household items, dining, or leisure spaces.",0.0023988217506979177
17298,"Tokens indicating direction or transfer, such as sending, mailing, narrating, or marking.",0.6984495365157679
17326,"Words with negative or foreboding connotations like ""ominously"" or ""bogged"".",98.68427246538126
17369,"Proper nouns or unique terms related to organizations, identities, or cultural-historical contexts.",0.10383233837021211
17506,Verbs or nouns related to purchasing or acquisition.,2.311915669498587
17517,"Function words like ""to,"" ""that,"" and ""so"" in contexts emphasizing intent or consequence.",0.04998506883999955
17547,"Tokens in proper nouns, brand names, or specialized terminology, often appearing in unique or uncommon contexts.",0.002062832226354343
17574,"Words introducing rules, processes, or contexts of regulation or inquiry.",0.640480382433323
17757,Nouns denoting distinct objects or abstract entities with specific functions or roles.,0.04362008621942789
17913,"Activates on the token ""joint"" in contexts of collaboration, shared ventures, or combined efforts.",0.03916672651325406
17952,"Tokens related to containers or protective objects like ""bowl"" and ""shield"".",0.23813363258124276
17988,"Formal or abstract nouns describing qualities, states, or concepts associated with distinction or significance.",0.08891876519225891
18055,"Proper nouns or specific terms denoting places, brands, or distinctive entities.",0.004880255679457957
18252,"Specific tokens linked to time, location, or alignment with standards or missions.",0.04602727671595423
18461,"Tokens forming suffixes or partial words related to crafting, artistry, or educational licensing.",0.004099743123842934
18574,"Specific technical or impactful nouns often used in scientific, economic, or explicit contexts.",43.056665258258164
18604,"Tokens indicating specificity or transition, often within technical, procedural, or structured contexts.",0.007049376994291509
18642,"Tokens related to specific entities, objects, or concepts that imply exclusivity or distinction.",1.1945682459565214
18662,"The phrase ""pick up"" or ""picked up"" in contexts of acquiring or engaging with objects or activities.",0.2724980151397009
18790,"Words denoting physical or metaphorical barriers, challenges, or obstructions.",99.85500475798507
18816,"Specialized or commercial terms often related to marketing, consumerism, or specific product features.",0.05243325502971214
18818,"Verbs or adjectives in formal or literary contexts, often indicating attribution, joining, or comparison.",0.02442638818289517
18841,Singular abstract nouns or time-related terms in formal or descriptive contexts.,0.021288377648385436
18908,"Words indicating pivotal actions, choices, or moments of significance.",4.660287095243604
18909,Verbs describing impactful or decisive actions often involving physical or metaphorical splitting or striking.,98.1950886526454
18943,"Tokens related to specific locations, setups, or actions within distinct contexts or environments.",1.2023865643032605
18983,"Tokens representing comparisons or alternatives, such as ""example,"" ""of,"" ""than,"" or ""test.""",0.08069757351492461
19019,"Tokens denoting events, artistic objects, or leisure activities with distinctive or notable qualities.",0.01252426609755277
19028,"Tokens related to time, craftsmanship, or specific technical terms.",0.011370641821889233
19068,Formal or technical terms denoting specific concepts or actions.,0.0761927560012672
19155,Verbs and adjectives denoting positive or transformative states or actions.,0.09124365240776619
19169,"Tokens related to allocation, movement, or readiness in distinct contexts.",0.1356143569371675
19216,"Numerical tokens in contexts of measurements, quantities, or monetary values.",0.021058622421893932
19280,"Specific nouns related to rooms or specialized places like ""room,"" ""laboratory,"" or ""toolbar.""",0.0063010153545735885
19345,"Tokens describing measurements, dimensions, or spatial attributes of objects.",0.1173180319700557
19426,"Words related to states of matter, degrees, or specific entities in physical or conceptual contexts.",0.09996588123430822
19445,"Proper nouns, brand names, or specific terms used in technical or formal contexts.",0.0037750279601016373
19508,"Prepositions indicating a relationship or connection, especially ""to"" and ""about"" in contextual linking phrases.",0.015192046816163311
19559,"The token ""that"" emphasizing a specific object or idea in instructional or directive contexts.",0.04468252344727511
19667,"Specific nouns representing categories or entities like city, business, language, family, or pet.",0.004530829569488244
19711,"Verbs or prepositions indicating action, engagement, or connection in dynamic contexts.",3.2732969544588126
19719,"Words indicating specific roles, activities, or purposes tied to events, actions, or institutions.",3.3195474264182754
19984,"Tokens describing formal appointments or commendable attributes, often in professional or administrative contexts.",0.011158334171575444
20002,"Tokens related to time progression or involvement in activities, often conveying change or continuation.",0.08780713641418321
20116,"Tokens ending in ""ed"" or ""ing"" or conveying emotional or reflective states.",0.11320179512202164
20282,"Tokens linked to numbers, honorary titles, or investment-related terms in specific formal contexts.",0.022803835510524163
20354,Singular possessive markers or descriptors referring to individuals or notable titles.,0.030741257472020514
20413,Functional words indicating purpose or method in procedural or instructional contexts.,0.03780115647024553
20472,"Words related to ""generation"" or inheritance across time.",0.5824180094621196
20532,"Tokens representing parts of words related to food, drink, or abstract concepts.",0.09743206148671693
20586,"The token ""of"" indicating a specific duration or period of time.",0.009752466269701351
20782,"Tokens indicating time, prediction, or routine actions often tied to specific events or descriptions.",0.03660169730437263
20982,"Tokens tied to specialized terms or measurable concepts often linked to precision, probabilities, or physical properties.",0.030001884400998297
21042,Tokens naming physical objects or locations associated with activities or entertainment.,0.06133421502242457
21064,"The word ""Demolition"" in contexts suggesting destruction or structural breakdown.",99.14528693007226
21147,Words describing a kitchen or a determining factor in decision-making contexts.,0.20251130116059626
21201,"Tokens indicating negation or absence, such as ""no"" or ""not"".",12.896241502071291
21209,"Tokens following colons or indicating positive actions, places, or revelations.",0.2663972438461205
21407,"Monetary values or financial terms, often featuring the dollar sign ""$"".",2.184078327296432
